ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:27:41.985,2.039,2.201446,-0.174512,-0.371841,-56.916929,0.220145,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:42.095,2.149,2.182073,-0.075848,-0.273177,-37.184082,0.220145,-12.960000,4742.750000,397.000000,119.000000,-157.000000,-108.000000,9912.000000,25.500000,99.099998,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.206,2.260,2.182073,-0.174512,-0.371841,-47.050506,0.220145,-12.960000,4742.750000,397.000000,119.000000,-157.000000,-108.000000,9912.000000,25.500000,99.099998,10.000000,11.000000,12.000000,27.200000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.313,2.367,2.119552,-0.075848,-0.273177,-47.050506,0.220145,-9.250000,4470.750000,385.000000,116.000000,-161.000000,-113.000000,9628.000000,25.500000,96.300003,10.000000,11.000000,12.000000,27.200000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.422,2.476,2.119552,-0.174512,-0.174512,-37.184082,0.220145,-9.250000,4470.750000,385.000000,116.000000,-161.000000,-113.000000,9628.000000,25.500000,96.300003,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.537,2.591,2.016524,0.022816,-0.174512,-37.184082,0.220145,-2.250000,4014.000000,367.000000,110.000000,-168.000000,-122.000000,9160.000000,25.500000,91.599998,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.641,2.695,3.824053,-0.075848,-0.174512,-27.317659,0.417473,-2.250000,4014.000000,367.000000,110.000000,-168.000000,-122.000000,9160.000000,25.500000,91.599998,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.753,2.807,3.824053,-0.075848,-0.174512,-27.317659,0.417473,-2.250000,4014.000000,367.000000,110.000000,-168.000000,-122.000000,9160.000000,25.500000,91.599998,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.862,2.916,0.186065,-0.174512,-0.273177,-37.184082,0.022816,21.440000,3117.750000,326.000000,98.000000,74.000000,-141.000000,8155.000000,24.000000,81.599998,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:42.970,3.024,0.186065,-0.075848,-0.174512,-37.184082,0.022816,21.440000,3117.750000,326.000000,98.000000,74.000000,-141.000000,8155.000000,24.000000,81.599998,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:43.079,3.133,-0.555360,-0.174512,-0.174512,-37.184082,-0.075848,50.640000,2481.750000,293.000000,88.000000,63.000000,-157.000000,7322.000000,22.000000,73.199997,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:43.190,3.244,1.611899,0.022816,-0.174512,-27.317659,0.220145,50.640000,2481.750000,293.000000,88.000000,63.000000,-157.000000,7322.000000,22.000000,73.199997,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:43.298,3.352,0.145909,-0.075848,-0.273177,-47.050506,0.022816,89.910000,1830.750000,256.000000,77.000000,50.000000,82.000000,6395.000000,19.000000,64.000000,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:43.407,3.461,1.407825,-0.075848,-0.174512,-27.317659,0.220145,89.910000,1830.750000,256.000000,77.000000,50.000000,82.000000,6395.000000,19.000000,64.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:43.517,3.571,1.191863,-0.075848,-0.273177,-37.184082,0.220145,140.510000,1277.750000,217.000000,65.000000,36.000000,63.000000,5414.000000,16.000000,54.099998,10.000000,11.000000,12.000000,27.210000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:43.626,3.680,1.191863,-0.075848,-0.174512,-37.184082,0.220145,140.510000,1277.750000,217.000000,65.000000,36.000000,63.000000,5414.000000,16.000000,54.099998,10.000000,11.000000,12.000000,27.210000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:43.738,3.792,0.972158,0.022816,-0.075848,-17.451236,0.220145,96.240000,794.000000,177.000000,53.000000,22.000000,44.000000,4416.000000,13.000000,44.200001,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:43.846,3.900,0.972158,0.022816,-0.174512,-27.317659,0.220145,96.240000,794.000000,177.000000,53.000000,22.000000,44.000000,4416.000000,13.000000,44.200001,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:43.954,4.008,0.757517,-0.075848,-0.174512,-37.184082,0.220145,52.310000,444.000000,138.000000,41.000000,8.000000,25.000000,3441.000000,10.000000,34.400002,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.064,4.118,0.078510,0.022816,-0.174512,-27.317659,0.022816,52.310000,444.000000,138.000000,41.000000,8.000000,25.000000,3441.000000,10.000000,34.400002,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.172,4.226,0.057679,0.022816,-0.174512,-27.317659,0.022816,21.440000,206.750000,101.000000,30.000000,-5.000000,8.000000,2528.000000,8.000000,25.299999,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.282,4.336,0.463624,-0.075848,-0.174512,-27.317659,0.220145,9.840000,125.750000,85.000000,25.000000,-11.000000,0.000000,2106.000000,6.000000,21.100000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.393,4.447,0.463624,-0.075848,-0.174512,-27.317659,0.220145,9.840000,125.750000,85.000000,25.000000,-11.000000,0.000000,2106.000000,6.000000,21.100000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.503,4.557,0.298076,-0.075848,-0.174512,-17.451236,0.220145,-5.290000,24.000000,54.000000,16.000000,-21.000000,-14.000000,1354.000000,4.000000,13.500000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.611,4.665,0.164484,-0.174512,-0.174512,-27.317659,0.121480,-5.290000,24.000000,54.000000,16.000000,-21.000000,-14.000000,1354.000000,4.000000,13.500000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.719,4.773,0.238150,-0.075848,-0.273177,-27.317659,0.318809,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,747.000000,2.000000,7.500000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.831,4.885,0.164448,-0.075848,-0.174512,-37.184082,0.220145,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,747.000000,2.000000,7.500000,10.000000,11.000000,12.000000,27.200000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:44.938,4.992,0.068025,-0.075848,-0.174512,-37.184082,0.220145,-16.810000,-18.000000,13.000000,4.000000,-36.000000,-34.000000,309.000000,1.000000,3.100000,10.000000,11.000000,12.000000,27.210000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.047,5.101,0.159486,-0.075848,-0.174512,-27.317659,0.516137,-16.810000,-18.000000,13.000000,4.000000,-36.000000,-34.000000,309.000000,1.000000,3.100000,10.000000,11.000000,12.000000,27.200000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.162,5.216,0.018810,-0.075848,-0.174512,-27.317659,0.318809,-17.890000,-18.000000,3.000000,1.000000,-39.000000,-39.000000,59.000000,0.000000,0.600000,10.000000,11.000000,12.000000,27.200000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.266,5.320,0.012989,-0.075848,-0.273177,-37.184082,0.220145,-17.890000,-18.000000,3.000000,1.000000,-39.000000,-39.000000,59.000000,0.000000,0.600000,10.000000,11.000000,12.000000,27.200000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.375,5.429,0.001594,-0.075848,-0.174512,-37.184082,0.318809,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,5.000000,0.000000,0.100000,10.000000,11.000000,12.000000,27.200000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.488,5.542,0.001101,-0.075848,-0.174512,-37.184082,0.220145,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,5.000000,0.000000,0.100000,10.000000,11.000000,12.000000,27.200000,27.570000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:45.599,5.653,0.048140,-0.075848,-0.174512,-27.317659,0.318809,-17.610000,-18.000000,6.000000,2.000000,-38.000000,-37.000000,151.000000,0.000000,1.500000,10.000000,11.000000,12.000000,27.200000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:45.704,5.758,0.033242,-0.075848,-0.273177,-37.184082,0.220145,-17.610000,-18.000000,6.000000,2.000000,-38.000000,-37.000000,151.000000,0.000000,1.500000,10.000000,11.000000,12.000000,27.210000,27.570000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:45.814,5.868,0.065383,0.022816,-0.075848,-27.317659,0.220145,-16.810000,-18.000000,12.000000,4.000000,-36.000000,-34.000000,297.000000,1.000000,3.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:45.927,5.981,0.232093,0.022816,-0.273177,-17.451236,0.318809,-13.410000,-14.250000,29.000000,9.000000,-30.000000,-26.000000,728.000000,2.000000,7.300000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:46.032,6.086,0.160265,-0.075848,-0.174512,-27.317659,0.220145,-13.410000,-14.250000,29.000000,9.000000,-30.000000,-26.000000,728.000000,2.000000,7.300000,10.000000,11.000000,12.000000,27.210000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
