ReadableTime,RelativeTime(s)
00:03:32.830,0.104
00:03:32.937,0.211
00:03:33.048,0.322
00:03:33.157,0.431
00:03:33.265,0.539
00:03:33.374,0.648
00:03:33.486,0.760
00:03:33.593,0.867
00:03:33.704,0.978
00:03:33.814,1.088
00:03:33.925,1.199
00:03:34.031,1.305
00:03:34.141,1.415
00:03:34.249,1.523
00:03:34.360,1.634
00:03:34.468,1.742
00:03:34.580,1.854
00:03:34.686,1.960
00:03:34.796,2.070
00:03:34.908,2.182
00:03:35.015,2.289
00:03:35.129,2.403
00:03:35.238,2.512
00:03:35.344,2.618
00:03:35.452,2.726
00:03:35.564,2.838
00:03:35.671,2.945
00:03:35.780,3.054
00:03:35.889,3.163
00:03:35.999,3.273
00:03:36.113,3.387
00:03:36.218,3.492
00:03:36.328,3.602
00:03:36.437,3.711
00:03:36.546,3.820
00:03:36.655,3.929
00:03:36.765,4.039
00:03:36.877,4.151
00:03:36.983,4.257
00:03:37.093,4.367
00:03:37.204,4.478
00:03:37.312,4.586
00:03:37.427,4.701
00:03:37.532,4.806
