ReadableTime,RelativeTime(s)
18:13:21.228,0.058
18:13:21.338,0.168
18:13:21.447,0.277
18:13:21.556,0.386
18:13:21.669,0.499
18:13:21.776,0.606
18:13:21.888,0.718
18:13:21.999,0.829
18:13:22.104,0.934
18:13:22.214,1.044
18:13:22.326,1.156
18:13:22.436,1.266
18:13:22.544,1.374
18:13:22.651,1.481
18:13:22.761,1.591
18:13:22.874,1.704
18:13:22.978,1.808
18:13:23.088,1.918
18:13:23.200,2.030
18:13:23.306,2.136
18:13:23.416,2.246
18:13:23.525,2.355
18:13:23.635,2.465
18:13:23.745,2.575
18:13:23.855,2.685
18:13:23.962,2.792
18:13:24.072,2.902
18:13:24.182,3.012
18:13:24.295,3.125
18:13:24.400,3.230
18:13:24.512,3.342
18:13:24.619,3.449
18:13:24.729,3.559
18:13:24.839,3.669
18:13:24.947,3.777
18:13:25.061,3.891
18:13:25.167,3.997
18:13:25.277,4.107
18:13:25.385,4.215
18:13:25.498,4.328
18:13:25.604,4.434
18:13:25.714,4.544
18:13:25.824,4.654
18:13:25.936,4.766
18:13:26.042,4.872
18:13:26.150,4.980
18:13:26.263,5.093
18:13:26.369,5.199
18:13:26.478,5.308
18:13:26.589,5.419
18:13:26.697,5.527
18:13:26.807,5.637
18:13:26.916,5.746
18:13:27.025,5.855
18:13:27.134,5.964
18:13:27.244,6.074
18:13:27.353,6.183
18:13:27.463,6.293
18:13:27.576,6.406
18:13:27.682,6.512
