ReadableTime,RelativeTime(s),EfficiencyFactor,PowerEstimate,TotalTemperature,Dev1_Force_1,Dev1_Force_2,Dev1_Force_3,Dev1_Force_4,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
01:02:05.054,0.052,24.574074,176.491003,6.230000,-0.075848,-0.273177,-0.569169,0.220145,,,,,,,,,,,,,,,,20.000000,21.000000,22.000000,23.000000
01:02:05.163,0.161,24.702381,429.525016,61.920000,-0.075848,-0.371841,-0.470505,-0.174512,9.840000,114.000000,83.000000,25.000000,-11.000000,-1.000000,2075.000000,6.000000,20.700001,26.220000,25.440000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.272,0.270,24.702381,429.525016,61.920000,-0.075848,-0.174512,-0.371841,0.220145,9.840000,114.000000,83.000000,25.000000,-11.000000,-1.000000,2075.000000,6.000000,20.700001,26.230000,25.440000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.380,0.378,24.697479,864.065989,170.395000,-0.075848,-0.273177,-0.371841,0.220145,35.040000,305.750000,118.000000,35.000000,1.000000,16.000000,2939.000000,9.000000,29.400000,26.230000,25.440000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.490,0.488,24.697479,864.065989,170.395000,-0.174512,-0.273177,-0.569169,0.121480,35.040000,305.750000,118.000000,35.000000,1.000000,16.000000,2939.000000,9.000000,29.400000,26.230000,25.440000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.598,0.596,24.745223,1507.379970,338.430000,-0.174512,-0.273177,-0.470505,0.220145,70.110000,606.750000,156.000000,47.000000,14.000000,34.000000,3885.000000,12.000000,38.799999,26.230000,25.440000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.708,0.706,24.745223,1507.379970,338.430000,-0.075848,-0.273177,-0.470505,0.220145,70.110000,606.750000,156.000000,47.000000,14.000000,34.000000,3885.000000,12.000000,38.799999,26.230000,25.450000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.816,0.814,24.872449,2378.999963,562.195000,-0.075848,-0.174512,-0.371841,0.220145,118.640000,1005.750000,195.000000,59.000000,28.000000,53.000000,4875.000000,15.000000,48.799999,26.220000,25.450000,25.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:05.929,0.927,24.877119,3446.277045,829.155000,-0.174512,-0.273177,-0.470505,0.220145,116.310000,1542.000000,235.000000,70.000000,42.000000,72.000000,5871.000000,18.000000,58.700001,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.038,1.036,24.877119,3446.277045,829.155000,-0.174512,-0.371841,-0.569169,0.220145,116.310000,1542.000000,235.000000,70.000000,42.000000,72.000000,5871.000000,18.000000,58.700001,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.145,1.143,24.840000,4665.573208,1107.055000,-0.075848,-0.371841,-0.470505,0.220145,70.110000,2144.000000,274.000000,82.000000,56.000000,-166.000000,6831.000000,20.000000,68.300003,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.255,1.253,24.840000,4665.573208,1107.055000,-0.075848,-0.371841,-0.569169,0.220145,70.110000,2144.000000,274.000000,82.000000,56.000000,-166.000000,6831.000000,20.000000,68.300003,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.364,1.362,24.870307,5312.223111,1241.320000,-0.075848,-0.174512,-0.470505,-0.075848,50.640000,2432.000000,292.000000,87.000000,62.000000,-158.000000,7287.000000,22.000000,72.900002,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.473,1.471,24.870307,5312.223111,1241.320000,-0.075848,-0.273177,-0.470505,0.318809,50.640000,2432.000000,292.000000,87.000000,62.000000,-158.000000,7287.000000,22.000000,72.900002,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.584,1.582,24.923313,6597.499752,1570.230000,-0.075848,-0.273177,-0.371841,0.220145,22.710000,3117.750000,325.000000,97.000000,74.000000,-142.000000,8125.000000,24.000000,81.199997,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.691,1.689,24.923313,6597.499752,1570.230000,-0.075848,-0.273177,-0.371841,0.220145,22.710000,3117.750000,325.000000,97.000000,74.000000,-142.000000,8125.000000,24.000000,81.199997,26.220000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.802,1.800,24.895775,7812.792135,1853.770000,-0.174512,-0.273177,-0.569169,0.318809,4.790000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8838.000000,25.500000,88.400002,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:06.913,1.911,24.895775,7812.792135,1853.770000,-0.075848,-0.273177,-0.273177,0.318809,4.790000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8838.000000,25.500000,88.400002,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.022,2.020,24.928382,8834.120000,2100.375000,-0.075848,-0.273177,-0.273177,0.318809,-6.000000,4206.750000,376.000000,113.000000,-164.000000,-117.000000,9398.000000,25.500000,94.000000,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.129,2.127,24.893130,9567.774299,2297.130000,-0.174512,-0.273177,-0.371841,0.121480,-11.490000,4605.750000,392.000000,117.000000,-159.000000,-110.000000,9783.000000,25.500000,97.800003,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.238,2.236,24.893130,9567.774299,2297.130000,-0.075848,-0.174512,-0.273177,0.220145,-11.490000,4605.750000,392.000000,117.000000,-159.000000,-110.000000,9783.000000,25.500000,97.800003,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.347,2.345,24.942500,9957.046304,2399.295000,0.417473,0.121480,-0.174512,0.220145,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-106.000000,9977.000000,25.500000,99.800003,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.457,2.455,24.942500,9957.046304,2399.295000,-0.075848,-0.174512,-0.371841,0.417473,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-106.000000,9977.000000,25.500000,99.800003,26.230000,25.450000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.568,2.566,24.932500,9943.080696,2399.295000,0.022816,-0.174512,-0.273177,0.318809,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,9973.000000,25.500000,99.699997,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.680,2.678,24.932500,9943.080696,2399.295000,-0.075848,-0.174512,-0.371841,0.220145,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,9973.000000,25.500000,99.699997,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.790,2.788,24.926952,9797.040000,2330.520000,-0.174512,-0.273177,-0.273177,0.121480,-12.960000,4674.000000,396.000000,119.000000,-157.000000,-108.000000,9896.000000,25.500000,99.000000,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:07.894,2.892,24.926952,9797.040000,2330.520000,-0.174512,-0.273177,-0.371841,0.417473,-12.960000,4674.000000,396.000000,119.000000,-157.000000,-108.000000,9896.000000,25.500000,99.000000,26.230000,25.450000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.003,3.001,24.927273,9213.120000,2197.375000,-0.075848,-0.174512,-0.273177,0.121480,-9.250000,4404.000000,384.000000,115.000000,-162.000000,-114.000000,9597.000000,25.500000,96.000000,26.230000,25.440000,25.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.114,3.112,24.927273,9213.120000,2197.375000,0.318809,0.022816,-0.273177,0.220145,-9.250000,4404.000000,384.000000,115.000000,-162.000000,-114.000000,9597.000000,25.500000,96.000000,26.230000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.223,3.221,24.904372,8303.764861,1974.655000,-0.075848,-0.174512,-0.371841,0.121480,-1.440000,3950.750000,365.000000,109.000000,-168.000000,-123.000000,9115.000000,25.500000,91.099998,26.230000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.332,3.330,24.904372,8303.764861,1974.655000,-0.075848,-0.273177,-0.470505,0.220145,-1.440000,3950.750000,365.000000,109.000000,-168.000000,-123.000000,9115.000000,25.500000,91.099998,26.230000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.441,3.439,24.905882,7172.395742,1708.555000,-0.174512,-0.371841,-0.371841,0.220145,13.110000,3404.000000,339.000000,102.000000,79.000000,-135.000000,8468.000000,25.000000,84.699997,26.230000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.556,3.554,24.867314,5901.312234,1387.255000,-0.075848,-0.273177,-0.371841,0.220145,36.510000,2738.000000,308.000000,92.000000,68.000000,-150.000000,7684.000000,23.000000,76.800003,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.663,3.661,24.867314,5901.312234,1387.255000,-0.075848,-0.174512,-0.273177,0.220145,36.510000,2738.000000,308.000000,92.000000,68.000000,-150.000000,7684.000000,23.000000,76.800003,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.772,3.770,24.879121,4611.768104,1084.875000,-0.075848,-0.174512,-0.371841,0.318809,72.000000,2097.750000,272.000000,82.000000,55.000000,-167.000000,6792.000000,20.000000,67.900002,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.880,3.878,24.879121,4611.768104,1084.875000,0.022816,-0.075848,-0.273177,0.220145,72.000000,2097.750000,272.000000,82.000000,55.000000,-167.000000,6792.000000,20.000000,67.900002,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:08.992,3.990,24.910256,3398.306956,810.695000,-0.075848,-0.174512,-0.273177,0.220145,118.640000,1502.750000,233.000000,70.000000,42.000000,71.000000,5829.000000,17.000000,58.299999,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.103,4.101,24.910256,3398.306956,810.695000,-0.075848,-0.174512,-0.273177,0.220145,118.640000,1502.750000,233.000000,70.000000,42.000000,71.000000,5829.000000,17.000000,58.299999,26.230000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.206,4.204,24.804651,2842.488959,693.795000,-0.075848,-0.174512,-0.371841,0.121480,145.590000,1242.000000,214.000000,64.000000,35.000000,61.000000,5333.000000,16.000000,53.299999,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.315,4.313,24.804651,2842.488959,693.795000,-0.075848,-0.273177,-0.371841,0.318809,145.590000,1242.000000,214.000000,64.000000,35.000000,61.000000,5333.000000,16.000000,53.299999,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.431,4.429,24.771429,1877.054967,428.875000,-0.075848,-0.075848,-0.273177,0.022816,92.000000,765.750000,174.000000,52.000000,21.000000,42.000000,4335.000000,13.000000,43.299999,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.537,4.535,24.771429,1877.054967,428.875000,0.022816,-0.174512,-0.273177,0.022816,92.000000,765.750000,174.000000,52.000000,21.000000,42.000000,4335.000000,13.000000,43.299999,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.645,4.643,24.735294,1130.303949,235.870000,-0.075848,-0.075848,-0.273177,0.417473,48.990000,422.750000,135.000000,40.000000,7.000000,24.000000,3364.000000,10.000000,33.599998,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.755,4.753,24.735294,1130.303949,235.870000,0.022816,-0.075848,-0.174512,0.318809,48.990000,422.750000,135.000000,40.000000,7.000000,24.000000,3364.000000,10.000000,33.599998,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.863,4.861,24.580000,604.668009,106.095000,-0.273177,-0.371841,-0.569169,0.220145,20.190000,192.000000,99.000000,29.000000,-6.000000,7.000000,2458.000000,7.000000,24.600000,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:09.973,4.971,24.671642,272.745000,27.120000,-0.075848,-0.174512,-0.273177,0.318809,0.240000,54.000000,66.000000,20.000000,-17.000000,-9.000000,1653.000000,5.000000,16.500000,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.084,5.082,24.671642,272.745000,27.120000,-0.174512,-0.174512,-0.371841,0.417473,0.240000,54.000000,66.000000,20.000000,-17.000000,-9.000000,1653.000000,5.000000,16.500000,26.220000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.192,5.190,23.951220,96.236002,-8.205000,0.516137,0.220145,-0.174512,0.220145,-10.410000,-6.000000,40.000000,12.000000,-26.000000,-21.000000,982.000000,3.000000,9.800000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.303,5.301,23.951220,96.236002,-8.205000,-0.075848,-0.273177,-0.371841,0.220145,-10.410000,-6.000000,40.000000,12.000000,-26.000000,-21.000000,982.000000,3.000000,9.800000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.411,5.409,23.550000,22.136999,-16.970000,-0.174512,-0.273177,-0.273177,0.318809,-15.690000,-18.250000,19.000000,6.000000,-33.000000,-31.000000,471.000000,1.000000,4.700000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.521,5.519,23.550000,22.136999,-16.970000,-0.075848,-0.174512,-0.273177,0.220145,-15.690000,-18.250000,19.000000,6.000000,-33.000000,-31.000000,471.000000,1.000000,4.700000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.628,5.626,21.692308,7.896000,-17.520000,-0.075848,-0.174512,-0.273177,0.417473,-17.040000,-18.000000,12.000000,3.000000,-36.000000,-35.000000,282.000000,1.000000,2.800000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.741,5.739,21.692308,7.896000,-17.520000,-0.075848,-0.174512,-0.273177,0.220145,-17.040000,-18.000000,12.000000,3.000000,-36.000000,-35.000000,282.000000,1.000000,2.800000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.847,5.845,15.666667,0.235000,-17.945000,-0.075848,-0.273177,-0.273177,0.220145,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,47.000000,0.000000,0.500000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:10.958,5.956,15.666667,0.235000,-17.945000,-0.273177,-0.371841,-0.470505,0.220145,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,47.000000,0.000000,0.500000,26.220000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.067,6.065,5.000000,0.010000,-18.000000,-0.075848,-0.174512,-0.273177,0.318809,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,10.000000,0.000000,0.100000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.182,6.180,5.000000,0.010000,-18.000000,-0.075848,-0.174512,-0.273177,0.318809,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,10.000000,0.000000,0.100000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.291,6.289,21.375000,2.907000,-17.720000,-0.174512,-0.273177,-0.273177,-0.075848,-17.440000,-18.000000,7.000000,2.000000,-38.000000,-37.000000,171.000000,1.000000,1.700000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.395,6.393,21.375000,2.907000,-17.720000,0.022816,-0.174512,-0.273177,0.220145,-17.440000,-18.000000,7.000000,2.000000,-38.000000,-37.000000,171.000000,1.000000,1.700000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.504,6.502,23.909091,27.878001,-16.680000,-0.075848,-0.273177,-0.371841,0.220145,-15.360000,-18.000000,21.000000,6.000000,-33.000000,-30.000000,526.000000,2.000000,5.300000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.614,6.612,24.045455,112.148004,-6.045000,-0.075848,-0.174512,-0.371841,0.614801,-9.840000,-2.250000,43.000000,13.000000,-25.000000,-20.000000,1058.000000,3.000000,10.600000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.728,6.726,24.045455,112.148004,-6.045000,-0.075848,-0.174512,-0.371841,0.220145,-9.840000,-2.250000,43.000000,13.000000,-25.000000,-20.000000,1058.000000,3.000000,10.600000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.833,6.831,24.619718,305.900000,37.000000,-0.273177,-0.174512,-0.273177,0.220145,2.000000,72.000000,70.000000,21.000000,-16.000000,-7.000000,1748.000000,5.000000,17.500000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:02:11.942,6.940,24.619718,305.900000,37.000000,0.022816,-0.075848,-0.174512,0.516137,2.000000,72.000000,70.000000,21.000000,-16.000000,-7.000000,1748.000000,5.000000,17.500000,26.230000,25.430000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
