ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Torque,engine_force,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:33:36.440,1.998,0.136710,-14.640000,-17.250000,25.000000,7.000000,-31.000000,-28.000000,621.000000,2.000000,6.200000,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:36.547,2.105,0.378745,-8.010000,6.750000,48.000000,14.000000,-23.000000,-17.000000,1188.000000,4.000000,11.900000,0.022816,-0.174512,10.000000,11.000000,12.000000,27.230000,27.610000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:36.657,2.215,0.027106,-8.010000,6.750000,48.000000,14.000000,-23.000000,-17.000000,1188.000000,4.000000,11.900000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.022816,20.000000,21.000000,22.000000,23.000000
20:33:36.766,2.324,0.419816,5.760000,92.000000,77.000000,23.000000,-13.000000,-4.000000,1907.000000,6.000000,19.100000,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:36.877,2.435,0.419816,5.760000,92.000000,77.000000,23.000000,-13.000000,-4.000000,1907.000000,6.000000,19.100000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:36.985,2.543,0.509635,15.390000,164.000000,93.000000,28.000000,-8.000000,4.000000,2315.000000,7.000000,23.100000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.094,2.652,0.966450,15.390000,164.000000,93.000000,28.000000,-8.000000,4.000000,2315.000000,7.000000,23.100000,-0.174512,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-56.916929,0.417473,20.000000,21.000000,22.000000,23.000000
20:33:37.204,2.762,0.705783,44.160000,381.750000,129.000000,38.000000,5.000000,21.000000,3206.000000,10.000000,32.099998,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.313,2.871,0.917783,83.760000,710.750000,167.000000,50.000000,18.000000,39.000000,4169.000000,13.000000,41.700001,0.121480,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.423,2.981,0.917783,83.760000,710.750000,167.000000,50.000000,18.000000,39.000000,4169.000000,13.000000,41.700001,-0.174512,-0.174512,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:37.533,3.091,1.646647,155.990000,1137.750000,207.000000,62.000000,32.000000,58.000000,5165.000000,15.000000,51.700001,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.230000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
