ReadableTime,RelativeTime(s)
00:19:41.173,0.109
00:19:41.282,0.218
00:19:41.392,0.328
00:19:41.501,0.437
00:19:41.608,0.544
00:19:41.722,0.658
00:19:41.829,0.765
00:19:41.939,0.875
00:19:42.051,0.987
00:19:42.155,1.091
00:19:42.264,1.200
00:19:42.375,1.311
00:19:42.489,1.425
00:19:42.593,1.529
00:19:42.702,1.638
00:19:42.812,1.748
00:19:42.924,1.860
00:19:43.035,1.971
00:19:43.141,2.077
00:19:43.251,2.187
00:19:43.361,2.297
00:19:43.472,2.408
00:19:43.579,2.515
00:19:43.687,2.623
00:19:43.801,2.737
00:19:43.906,2.842
00:19:44.016,2.952
00:19:44.125,3.061
00:19:44.237,3.173
00:19:44.343,3.279
00:19:44.452,3.388
00:19:44.564,3.500
00:19:44.672,3.608
00:19:44.784,3.720
00:19:44.892,3.828
00:19:44.999,3.935
00:19:45.109,4.045
00:19:45.221,4.157
00:19:45.332,4.268
00:19:45.437,4.373
00:19:45.550,4.486
00:19:45.659,4.595
00:19:45.764,4.700
00:19:45.874,4.810
00:19:45.983,4.919
00:19:46.096,5.032
00:19:46.204,5.140
00:19:46.314,5.250
00:19:46.425,5.361
00:19:46.532,5.468
00:19:46.642,5.578
00:19:46.750,5.686
00:19:46.861,5.797
00:19:46.968,5.904
00:19:47.080,6.016
00:19:47.187,6.123
00:19:47.301,6.237
00:19:47.409,6.345
00:19:47.517,6.453
00:19:47.627,6.563
00:19:47.739,6.675
00:19:47.844,6.780
00:19:47.953,6.889
00:19:48.061,6.997
00:19:48.174,7.110
00:19:48.283,7.219
00:19:48.392,7.328
00:19:48.500,7.436
00:19:48.609,7.545
00:19:48.720,7.656
00:19:48.829,7.765
00:19:48.937,7.873
00:19:49.049,7.985
00:19:49.155,8.091
00:19:49.266,8.202
00:19:49.374,8.310
00:19:49.489,8.425
00:19:49.596,8.532
00:19:49.702,8.638
