ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
21:47:09.188,2.061,1.165884,-0.075848,-0.174512,60.960000,510.750000,147.000000,44.000000,11.000000,29.000000,3657.000000,11.000000,36.599998,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.303,2.176,0.805069,0.022816,-0.075848,60.960000,510.750000,147.000000,44.000000,11.000000,29.000000,3657.000000,11.000000,36.599998,2.281610,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:09.408,2.281,1.479592,-0.174512,-0.174512,107.190000,912.000000,186.000000,56.000000,25.000000,48.000000,4641.000000,14.000000,46.400002,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.516,2.389,1.021691,-0.075848,-0.075848,107.190000,912.000000,186.000000,56.000000,25.000000,48.000000,4641.000000,14.000000,46.400002,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.627,2.500,1.797763,-0.075848,-0.174512,128.160000,1388.000000,226.000000,68.000000,39.000000,67.000000,5639.000000,17.000000,56.400002,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.735,2.608,2.910498,-0.075848,-0.174512,128.160000,1388.000000,226.000000,68.000000,39.000000,67.000000,5639.000000,17.000000,56.400002,-27.317659,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.844,2.717,1.455376,-0.075848,-0.075848,79.760000,2006.750000,265.000000,79.000000,53.000000,86.000000,6611.000000,20.000000,66.099998,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:09.957,2.830,2.107645,-0.075848,-0.174512,79.760000,2006.750000,265.000000,79.000000,53.000000,86.000000,6611.000000,20.000000,66.099998,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.064,2.937,2.397442,-0.075848,-0.075848,42.590000,2634.000000,301.000000,90.000000,65.000000,-153.000000,7520.000000,23.000000,75.199997,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.172,3.045,1.655487,-0.075848,-0.174512,42.590000,2634.000000,301.000000,90.000000,65.000000,-153.000000,7520.000000,23.000000,75.199997,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.286,3.159,1.833144,-0.174512,-0.273177,16.560000,3288.000000,333.000000,100.000000,77.000000,-138.000000,8327.000000,25.000000,83.300003,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:10.392,3.265,4.297875,-0.174512,-0.273177,16.560000,3288.000000,333.000000,100.000000,77.000000,-138.000000,8327.000000,25.000000,83.300003,-37.184082,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.500,3.373,3.624918,-0.075848,-0.174512,7.760000,3581.750000,348.000000,104.000000,82.000000,-131.000000,8683.000000,25.500000,86.800003,-17.451236,0.417473,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.611,3.484,2.959183,-0.371841,-0.470505,-3.810000,4142.000000,372.000000,111.000000,-166.000000,-120.000000,9282.000000,25.500000,92.800003,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.719,3.592,2.959183,0.022816,-0.075848,-3.810000,4142.000000,372.000000,111.000000,-166.000000,-120.000000,9282.000000,25.500000,92.800003,-7.584813,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.830,3.703,2.137384,-0.075848,-0.174512,-10.410000,4538.000000,389.000000,117.000000,-160.000000,-112.000000,9709.000000,25.500000,97.099998,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:10.939,3.812,2.137384,-0.174512,-0.273177,-10.410000,4538.000000,389.000000,117.000000,-160.000000,-112.000000,9709.000000,25.500000,97.099998,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.047,3.920,4.153439,-0.075848,-0.174512,-13.410000,4742.750000,398.000000,119.000000,-157.000000,-107.000000,9949.000000,25.500000,99.500000,-47.050506,0.417473,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.158,4.031,2.190218,-0.075848,-0.174512,-13.410000,4742.750000,398.000000,119.000000,-157.000000,-107.000000,9949.000000,25.500000,99.500000,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.267,4.140,2.199685,0.022816,-0.075848,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9992.000000,25.500000,99.900002,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.378,4.251,9.100656,-0.174512,-0.273177,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,9992.000000,25.500000,99.900002,-27.317659,0.910794,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.488,4.361,3.135485,-0.075848,-0.174512,-12.000000,4674.000000,394.000000,118.000000,-158.000000,-109.000000,9835.000000,25.500000,98.400002,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:11.594,4.467,3.135485,0.220145,-0.075848,-12.000000,4674.000000,394.000000,118.000000,-158.000000,-109.000000,9835.000000,25.500000,98.400002,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.708,4.581,2.088291,-0.075848,-0.174512,-7.360000,4272.000000,380.000000,114.000000,-163.000000,-116.000000,9486.000000,25.500000,94.900002,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:11.814,4.687,2.088291,-0.075848,-0.174512,-7.360000,4272.000000,380.000000,114.000000,-163.000000,-116.000000,9486.000000,25.500000,94.900002,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:11.924,4.797,2.034796,0.220145,-0.075848,-3.810000,4077.750000,370.000000,111.000000,-167.000000,-120.000000,9243.000000,25.500000,92.400002,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:12.032,4.905,4.455813,-0.075848,-0.174512,8.790000,3522.000000,346.000000,104.000000,81.000000,-132.000000,8633.000000,25.500000,86.300003,-27.317659,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.142,5.015,1.900508,-0.371841,-0.470505,8.790000,3522.000000,346.000000,104.000000,81.000000,-132.000000,8633.000000,25.500000,86.300003,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.251,5.124,2.511576,-0.075848,-0.174512,30.750000,2897.750000,315.000000,95.000000,70.000000,-146.000000,7878.000000,24.000000,78.800003,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:12.364,5.237,1.734299,-0.371841,-0.470505,30.750000,2897.750000,315.000000,95.000000,70.000000,-146.000000,7878.000000,24.000000,78.800003,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:12.474,5.347,2.234531,-0.075848,-0.273177,62.750000,2238.000000,281.000000,84.000000,58.000000,-163.000000,7009.000000,21.000000,70.099998,-47.050506,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.581,5.454,1.542993,-0.075848,-0.174512,62.750000,2238.000000,281.000000,84.000000,58.000000,-163.000000,7009.000000,21.000000,70.099998,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.690,5.563,1.333856,-0.075848,-0.174512,107.190000,1622.000000,243.000000,73.000000,45.000000,75.000000,6059.000000,18.000000,60.599998,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.797,5.670,3.725082,0.022816,-0.174512,107.190000,1622.000000,243.000000,73.000000,45.000000,75.000000,6059.000000,18.000000,60.599998,-37.184082,0.614801,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:12.908,5.781,0.115609,-0.075848,-0.174512,130.590000,1104.000000,203.000000,61.000000,31.000000,56.000000,5067.000000,15.000000,50.700001,-37.184082,0.022816,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.530000
21:47:13.018,5.891,1.115473,-0.075848,-0.174512,130.590000,1104.000000,203.000000,61.000000,31.000000,56.000000,5067.000000,15.000000,50.700001,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
