ReadableTime,RelativeTime(s)
17:28:01.186,0.074
17:28:01.291,0.179
17:28:01.401,0.289
17:28:01.511,0.399
17:28:01.624,0.512
17:28:01.730,0.618
17:28:01.840,0.728
17:28:01.951,0.839
17:28:02.057,0.945
17:28:02.166,1.054
17:28:02.275,1.163
17:28:02.385,1.273
17:28:02.494,1.382
17:28:02.605,1.493
17:28:02.715,1.603
17:28:02.822,1.710
17:28:02.932,1.820
17:28:03.042,1.930
17:28:03.153,2.041
17:28:03.261,2.149
17:28:03.373,2.261
17:28:03.481,2.369
17:28:03.588,2.476
17:28:03.700,2.588
17:28:03.807,2.695
17:28:03.919,2.807
17:28:04.026,2.914
17:28:04.138,3.026
17:28:04.249,3.137
17:28:04.353,3.241
17:28:04.463,3.351
17:28:04.577,3.465
17:28:04.686,3.574
17:28:04.794,3.682
17:28:04.901,3.789
17:28:05.012,3.900
17:28:05.124,4.012
17:28:05.229,4.117
17:28:05.338,4.226
17:28:05.448,4.336
17:28:05.556,4.444
17:28:05.666,4.554
17:28:05.775,4.663
17:28:05.885,4.773
17:28:05.995,4.883
17:28:06.103,4.991
17:28:06.215,5.103
17:28:06.323,5.211
17:28:06.434,5.322
17:28:06.544,5.432
