ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
22:12:24.016,0.055,3.605297,-0.075848,-0.174512,-37.184082,-0.174512,,,,,,,,,,,,,20.000000,21.000000,22.000000,23.000000,,,
22:12:24.126,0.165,1.735179,-0.075848,-0.174512,-27.317659,0.220145,30.750000,2897.750000,316.000000,95.000000,70.000000,-146.000000,7882.000000,24.000000,78.800003,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.500000,26.850000
22:12:24.236,0.275,1.735179,0.022816,-0.174512,-27.317659,0.220145,30.750000,2897.750000,316.000000,95.000000,70.000000,-146.000000,7882.000000,24.000000,78.800003,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.500000,26.840000
22:12:24.345,0.384,1.543654,-0.075848,-0.174512,-27.317659,0.220145,62.750000,2238.000000,281.000000,84.000000,58.000000,-163.000000,7012.000000,21.000000,70.099998,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.500000,26.840000
22:12:24.453,0.492,1.543654,-0.273177,-0.371841,-47.050506,0.220145,62.750000,2238.000000,281.000000,84.000000,58.000000,-163.000000,7012.000000,21.000000,70.099998,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.500000,26.850000
22:12:24.564,0.603,1.334737,-0.075848,-0.174512,-27.317659,0.220145,107.190000,1662.750000,243.000000,73.000000,45.000000,75.000000,6063.000000,18.000000,60.599998,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.500000,26.850000
22:12:24.679,0.718,1.334737,0.022816,-0.075848,-7.584813,0.220145,107.190000,1662.750000,243.000000,73.000000,45.000000,75.000000,6063.000000,18.000000,60.599998,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:24.782,0.821,1.226205,-0.075848,-0.174512,-27.317659,0.220145,133.040000,1350.750000,223.000000,67.000000,38.000000,66.000000,5570.000000,17.000000,55.700001,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:24.892,0.931,1.226205,-0.174512,-0.273177,-27.317659,0.220145,133.040000,1350.750000,223.000000,67.000000,38.000000,66.000000,5570.000000,17.000000,55.700001,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.510000,26.850000
22:12:25.002,1.041,1.006501,-0.075848,-0.174512,-27.317659,0.220145,102.750000,881.750000,183.000000,55.000000,24.000000,47.000000,4572.000000,14.000000,45.700001,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.510000,26.850000
22:12:25.109,1.148,0.790319,-0.075848,-0.174512,-37.184082,0.220145,59.190000,488.000000,144.000000,43.000000,10.000000,28.000000,3590.000000,11.000000,35.900002,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.220000,25.510000,26.850000
22:12:25.221,1.260,1.144524,-0.075848,-0.174512,-17.451236,0.318809,59.190000,488.000000,144.000000,43.000000,10.000000,28.000000,3590.000000,11.000000,35.900002,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:25.330,1.369,0.323867,0.022816,-0.174512,-17.451236,0.121480,25.310000,237.750000,107.000000,32.000000,-3.000000,11.000000,2666.000000,8.000000,26.700001,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:25.438,1.477,0.586905,-0.075848,-0.273177,-47.050506,0.220145,25.310000,237.750000,107.000000,32.000000,-3.000000,11.000000,2666.000000,8.000000,26.700001,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:25.552,1.591,0.403745,0.022816,-0.174512,-27.317659,0.220145,3.840000,81.750000,74.000000,22.000000,-14.000000,-5.000000,1834.000000,6.000000,18.299999,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
22:12:25.657,1.696,0.403745,-0.174512,-0.371841,-37.184082,0.220145,3.840000,81.750000,74.000000,22.000000,-14.000000,-5.000000,1834.000000,6.000000,18.299999,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.230000,25.510000,26.850000
