ReadableTime,RelativeTime(s),EfficiencyFactor,PowerEstimate,TotalTemperature,Dev1_Force_1,Dev1_Force_2,Dev1_Force_3,Dev1_Force_4,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
01:57:09.597,0.115,5.500000,0.011000,-18.000000,-0.075848,-0.273177,-0.470505,0.220145,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,11.000000,0.000000,0.100000,,,,,,,,,,
01:57:09.707,0.225,5.500000,0.011000,-18.000000,-0.174512,-0.273177,-0.371841,0.121480,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,11.000000,0.000000,0.100000,26.210000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:09.819,0.337,15.000000,0.180000,-17.945000,-0.174512,-0.174512,-0.371841,0.417473,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,45.000000,0.000000,0.400000,26.210000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:09.925,0.443,15.000000,0.180000,-17.945000,-0.075848,-0.174512,-0.371841,0.318809,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,45.000000,0.000000,0.400000,26.210000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.034,0.552,23.000000,7.728000,-17.520000,-0.075848,-0.273177,-0.371841,0.614801,-17.040000,-18.000000,11.000000,3.000000,-36.000000,-35.000000,276.000000,1.000000,2.800000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.144,0.662,23.965517,48.650000,-14.920000,-0.075848,-0.174512,-0.371841,0.121480,-13.840000,-16.000000,28.000000,8.000000,-30.000000,-27.000000,695.000000,2.000000,7.000000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.254,0.772,23.965517,48.650000,-14.920000,0.022816,-0.174512,-0.371841,0.318809,-13.840000,-16.000000,28.000000,8.000000,-30.000000,-27.000000,695.000000,2.000000,7.000000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.363,0.881,24.264151,165.893995,5.875000,0.121480,-0.075848,-0.371841,0.220145,-6.000000,17.750000,52.000000,15.000000,-22.000000,-16.000000,1286.000000,4.000000,12.900000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.473,0.991,24.264151,165.893995,5.875000,-0.075848,-0.174512,-0.371841,0.220145,-6.000000,17.750000,52.000000,15.000000,-22.000000,-16.000000,1286.000000,4.000000,12.900000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.582,1.100,24.707317,411.277985,61.395000,-0.075848,-0.273177,-0.371841,0.318809,8.790000,114.000000,81.000000,24.000000,-12.000000,-2.000000,2026.000000,6.000000,20.299999,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.694,1.212,24.707317,411.277985,61.395000,-0.075848,-0.273177,-0.273177,0.318809,8.790000,114.000000,81.000000,24.000000,-12.000000,-2.000000,2026.000000,6.000000,20.299999,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.800,1.318,24.666667,595.847991,105.480000,-0.075848,-0.273177,-0.273177,0.318809,18.960000,192.000000,98.000000,29.000000,-6.000000,6.000000,2442.000000,7.000000,24.400000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:10.911,1.429,24.666667,595.847991,105.480000,-0.371841,-0.273177,-0.371841,0.220145,18.960000,192.000000,98.000000,29.000000,-6.000000,6.000000,2442.000000,7.000000,24.400000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:11.019,1.537,24.785185,1120.910000,235.870000,-0.075848,-0.273177,-0.371841,0.417473,48.990000,422.750000,134.000000,40.000000,7.000000,24.000000,3346.000000,10.000000,33.500000,26.200000,25.440000,25.580000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:11.131,1.649,24.785185,1120.910000,235.870000,-0.075848,-0.174512,-0.273177,0.417473,48.990000,422.750000,134.000000,40.000000,7.000000,24.000000,3346.000000,10.000000,33.500000,26.200000,25.440000,25.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
