ReadableTime,RelativeTime(s),engine_power,Dev1_Force_1,Dev1_Force_2,Dev1_Torque,Dev1_engine_force,Speed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
19:42:03.300,1.899,0.014530,-0.075848,-0.075848,-17.451236,0.220145,66.000000,-17.760000,-18.000000,3.000000,1.000000,-39.000000,-39.000000,0.000000,0.700000,26.950000,27.370000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.408,2.007,0.000956,-0.075848,-0.273177,-47.050506,0.318809,3.000000,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,0.000000,0.000000,26.950000,27.370000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.518,2.117,0.030820,-0.075848,-0.174512,-37.184082,0.220145,140.000000,-17.610000,-18.000000,6.000000,2.000000,-38.000000,-37.000000,0.000000,1.400000,26.950000,27.370000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.628,2.227,0.072259,-0.174512,-0.273177,-27.317659,0.516137,140.000000,-17.610000,-18.000000,6.000000,2.000000,-38.000000,-37.000000,0.000000,1.400000,26.950000,27.370000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.736,2.335,0.149840,-0.075848,-0.174512,-27.317659,0.318809,470.000000,-15.690000,-18.250000,19.000000,6.000000,-33.000000,-31.000000,1.000000,4.700000,26.950000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.845,2.444,0.149840,-0.075848,-0.174512,-47.050506,0.318809,470.000000,-15.690000,-18.250000,19.000000,6.000000,-33.000000,-31.000000,1.000000,4.700000,26.950000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:03.956,2.555,0.312751,-0.075848,-0.174512,-17.451236,0.318809,981.000000,-10.410000,-6.000000,40.000000,12.000000,-26.000000,-21.000000,3.000000,9.800000,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.065,2.664,0.215962,-0.075848,-0.174512,-37.184082,0.220145,981.000000,-10.410000,-6.000000,40.000000,12.000000,-26.000000,-21.000000,3.000000,9.800000,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.175,2.774,0.363899,0.022816,-0.075848,-27.317659,0.220145,1653.000000,0.240000,54.000000,66.000000,20.000000,-17.000000,-9.000000,5.000000,16.500000,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.282,2.881,0.200807,-0.075848,-0.273177,-37.184082,0.121480,1653.000000,0.240000,54.000000,66.000000,20.000000,-17.000000,-9.000000,5.000000,16.500000,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.394,2.993,0.247820,-0.075848,-0.273177,-47.050506,0.121480,2040.000000,8.790000,114.000000,82.000000,24.000000,-11.000000,-1.000000,6.000000,20.400000,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.503,3.102,0.449095,-0.174512,-0.273177,-47.050506,0.220145,2040.000000,8.790000,114.000000,82.000000,24.000000,-11.000000,-1.000000,6.000000,20.400000,26.950000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.610,3.209,0.638419,-0.075848,-0.371841,-47.050506,0.220145,2900.000000,33.590000,288.000000,116.000000,35.000000,1.000000,15.000000,9.000000,29.000000,26.950000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:04.725,3.324,-0.219960,-0.075848,-0.273177,-47.050506,-0.075848,2900.000000,33.590000,288.000000,116.000000,35.000000,1.000000,15.000000,9.000000,29.000000,26.950000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
