ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
19:58:34.145,2.045,0.678106,10.910000,125.750000,85.000000,26.000000,-10.000000,0.000000,2127.000000,6.000000,21.299999,-0.075848,-0.174512,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.040000,27.480000,27.650000
19:58:34.257,2.157,0.659773,36.510000,324.000000,120.000000,36.000000,2.000000,17.000000,2997.000000,9.000000,30.000000,0.220145,0.022816,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.040000,27.480000,27.650000
19:58:34.360,2.260,0.659773,36.510000,324.000000,120.000000,36.000000,2.000000,17.000000,2997.000000,9.000000,30.000000,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.040000,27.480000,27.650000
19:58:34.471,2.371,0.479483,73.910000,632.000000,158.000000,47.000000,15.000000,35.000000,3947.000000,12.000000,39.500000,-0.075848,-0.075848,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:34.581,2.481,0.599991,123.360000,1038.000000,198.000000,59.000000,29.000000,54.000000,4939.000000,15.000000,49.400002,-0.075848,-0.174512,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:34.692,2.592,1.574597,123.360000,1038.000000,198.000000,59.000000,29.000000,54.000000,4939.000000,15.000000,49.400002,0.022816,-0.075848,-7.584813,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:34.798,2.698,0.720864,114.000000,1581.750000,238.000000,71.000000,43.000000,73.000000,5934.000000,18.000000,59.299999,0.022816,-0.174512,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:34.908,2.808,1.891811,114.000000,1581.750000,238.000000,71.000000,43.000000,73.000000,5934.000000,18.000000,59.299999,-0.075848,-0.075848,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.017,2.917,2.196911,68.240000,2190.750000,276.000000,83.000000,56.000000,-165.000000,6891.000000,21.000000,68.900002,-0.075848,-0.174512,-17.451236,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.131,3.031,1.517016,68.240000,2190.750000,276.000000,83.000000,56.000000,-165.000000,6891.000000,21.000000,68.900002,-0.075848,-0.075848,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.235,3.135,4.011935,33.590000,2790.750000,311.000000,93.000000,69.000000,-148.000000,7773.000000,23.000000,77.699997,0.022816,-0.075848,-17.451236,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
19:58:35.345,3.245,2.478101,33.590000,2790.750000,311.000000,93.000000,69.000000,-148.000000,7773.000000,23.000000,77.699997,-0.075848,-0.174512,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.050000,27.480000,27.650000
