ReadableTime,RelativeTime(s)
00:19:22.874,0.098
00:19:22.983,0.207
00:19:23.093,0.317
00:19:23.202,0.426
00:19:23.313,0.537
00:19:23.421,0.645
00:19:23.530,0.754
00:19:23.640,0.864
00:19:23.749,0.973
00:19:23.862,1.086
00:19:23.967,1.191
00:19:24.080,1.304
00:19:24.190,1.414
00:19:24.296,1.520
00:19:24.408,1.632
00:19:24.516,1.740
00:19:24.627,1.851
00:19:24.733,1.957
00:19:24.842,2.066
00:19:24.952,2.176
00:19:25.064,2.288
00:19:25.174,2.398
00:19:25.283,2.507
00:19:25.390,2.614
00:19:25.501,2.725
00:19:25.610,2.834
00:19:25.719,2.943
00:19:25.828,3.052
00:19:25.936,3.160
00:19:26.050,3.274
00:19:26.155,3.379
00:19:26.265,3.489
00:19:26.375,3.599
00:19:26.484,3.708
00:19:26.593,3.817
00:19:26.702,3.926
