ReadableTime,RelativeTime(s),SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
21:54:25.011,0.023,,,,,,,,,
21:54:25.119,0.131,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.228,0.240,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.338,0.350,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.447,0.459,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.556,0.568,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.666,0.678,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.777,0.789,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.885,0.897,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:25.994,1.006,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.104,1.116,24.060000,23.590000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.216,1.228,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.322,1.334,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.431,1.443,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.542,1.554,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.650,1.662,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.763,1.775,24.050000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.869,1.881,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:26.981,1.993,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.093,2.105,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.197,2.209,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.306,2.318,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.418,2.430,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.527,2.539,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.636,2.648,24.070000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.745,2.757,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.855,2.867,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:27.967,2.979,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:28.075,3.087,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:28.182,3.194,24.060000,23.610000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:54:28.290,3.302,24.060000,23.600000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
