ReadableTime,RelativeTime(s),engine_power,Dev1_Force_1,Dev1_Force_2,Dev1_Torque,Dev1_engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
01:57:56.629,1.969,0.000000,0.022816,-0.174512,-0.273177,0.220145,35.040000,305.750000,118.000000,35.000000,1.000000,16.000000,2951.000000,9.000000,29.500000,26.210000,25.440000,25.540000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:56.738,2.078,0.000000,-0.075848,-0.174512,-0.371841,0.318809,9.840000,114.000000,84.000000,25.000000,-11.000000,0.000000,2086.000000,6.000000,20.900000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:56.847,2.187,0.000000,-0.075848,-0.174512,-0.273177,0.318809,9.840000,114.000000,84.000000,25.000000,-11.000000,0.000000,2086.000000,6.000000,20.900000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:56.958,2.298,0.000000,0.022816,-0.174512,-0.273177,0.318809,-5.290000,24.000000,54.000000,16.000000,-21.000000,-15.000000,1337.000000,4.000000,13.400000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.067,2.407,0.000000,-0.273177,-0.371841,-0.470505,0.220145,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,734.000000,2.000000,7.300000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.175,2.515,0.000000,-0.075848,-0.075848,-0.273177,0.022816,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,734.000000,2.000000,7.300000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.287,2.627,0.000000,-0.174512,-0.273177,-0.371841,0.318809,-16.810000,-18.000000,12.000000,4.000000,-36.000000,-34.000000,301.000000,1.000000,3.000000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.393,2.733,0.000000,-0.075848,-0.174512,-0.273177,0.220145,-16.810000,-18.000000,12.000000,4.000000,-36.000000,-34.000000,301.000000,1.000000,3.000000,26.210000,25.440000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.506,2.846,0.000000,-0.075848,-0.174512,-0.371841,0.318809,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,55.000000,0.000000,0.600000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.613,2.953,0.000000,-0.075848,-0.174512,-0.273177,0.713466,-17.890000,-18.000000,2.000000,1.000000,-39.000000,-39.000000,55.000000,0.000000,0.600000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.722,3.062,0.000000,0.022816,-0.174512,-0.273177,0.121480,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,6.000000,0.000000,0.100000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.832,3.172,0.000000,-0.075848,-0.174512,-0.273177,0.220145,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,6.000000,0.000000,0.100000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:57.941,3.281,0.000000,-0.075848,-0.174512,-0.371841,0.220145,-17.890000,-18.000000,3.000000,1.000000,-39.000000,-39.000000,57.000000,0.000000,0.600000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.052,3.392,0.000000,-0.075848,-0.273177,-0.273177,0.220145,-17.890000,-18.000000,3.000000,1.000000,-39.000000,-39.000000,57.000000,0.000000,0.600000,26.200000,25.430000,25.530000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.161,3.501,0.000000,-0.174512,-0.273177,-0.273177,0.220145,-16.810000,-18.000000,12.000000,4.000000,-36.000000,-34.000000,306.000000,1.000000,3.100000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.269,3.609,0.000000,0.121480,-0.075848,-0.174512,0.318809,-16.810000,-18.000000,12.000000,4.000000,-36.000000,-34.000000,306.000000,1.000000,3.100000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.380,3.720,0.000000,-0.075848,-0.174512,-0.273177,0.220145,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,741.000000,2.000000,7.400000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.488,3.828,0.000000,-0.075848,-0.174512,-0.273177,0.318809,-13.410000,-14.250000,30.000000,9.000000,-30.000000,-26.000000,1346.000000,2.000000,7.400000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.597,3.937,0.000000,0.121480,-0.075848,-0.075848,0.318809,-5.290000,24.000000,54.000000,16.000000,-21.000000,-14.000000,1346.000000,4.000000,13.500000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.706,4.046,0.000000,0.022816,-0.075848,-0.075848,0.318809,9.840000,125.750000,84.000000,25.000000,-11.000000,0.000000,2097.000000,6.000000,21.000000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.816,4.156,0.000000,0.022816,-0.075848,-0.174512,0.318809,9.840000,125.750000,84.000000,25.000000,-11.000000,0.000000,2097.000000,6.000000,21.000000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:58.926,4.266,0.000000,-0.075848,-0.075848,-0.174512,0.022816,35.040000,305.750000,119.000000,36.000000,1.000000,16.000000,2964.000000,9.000000,29.600000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.034,4.374,0.000000,-0.174512,-0.174512,-0.174512,0.318809,35.040000,305.750000,119.000000,36.000000,1.000000,16.000000,2964.000000,9.000000,29.600000,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.144,4.484,0.000000,-0.075848,-0.174512,-0.174512,0.318809,52.310000,444.000000,137.000000,41.000000,8.000000,25.000000,3430.000000,10.000000,34.299999,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.253,4.593,0.000000,-0.075848,-0.174512,-0.075848,0.318809,52.310000,444.000000,137.000000,41.000000,8.000000,25.000000,3430.000000,10.000000,34.299999,26.200000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.363,4.703,0.000000,0.022816,-0.174512,-0.273177,0.121480,94.110000,794.000000,176.000000,53.000000,22.000000,44.000000,4404.000000,13.000000,44.000000,26.210000,25.430000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.472,4.812,0.000000,-0.075848,-0.174512,-0.174512,0.318809,94.110000,794.000000,176.000000,53.000000,22.000000,44.000000,4404.000000,13.000000,44.000000,26.210000,25.440000,25.520000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.583,4.923,0.000000,-0.075848,-0.174512,-0.075848,0.318809,143.040000,1277.750000,216.000000,65.000000,36.000000,63.000000,5403.000000,16.000000,54.000000,26.210000,25.440000,25.510000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.691,5.031,0.000000,-0.273177,-0.273177,-0.273177,0.220145,143.040000,1277.750000,216.000000,65.000000,36.000000,63.000000,5403.000000,16.000000,54.000000,26.210000,25.440000,25.510000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.803,5.143,0.000000,-0.075848,-0.174512,-0.273177,0.220145,89.910000,1830.750000,256.000000,77.000000,49.000000,81.000000,6385.000000,19.000000,63.799999,26.210000,25.440000,25.510000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:57:59.909,5.249,0.000000,0.121480,0.022816,-0.075848,0.318809,50.640000,2481.750000,293.000000,88.000000,62.000000,-157.000000,7312.000000,22.000000,73.099998,26.210000,25.440000,25.510000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.020,5.360,0.000000,-0.075848,-0.174512,-0.371841,0.220145,50.640000,2481.750000,293.000000,88.000000,62.000000,-157.000000,7312.000000,22.000000,73.099998,26.210000,25.440000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.128,5.468,0.000000,-0.075848,-0.075848,-0.273177,0.318809,22.710000,3117.750000,326.000000,98.000000,74.000000,-141.000000,8146.000000,24.000000,81.500000,26.210000,25.440000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.238,5.578,0.000000,0.022816,-0.174512,-0.371841,0.318809,22.710000,3117.750000,326.000000,98.000000,74.000000,-141.000000,8146.000000,24.000000,81.500000,26.210000,25.440000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.347,5.687,0.000000,0.022816,-0.174512,-0.273177,0.220145,3.840000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8856.000000,25.500000,88.599998,26.210000,25.440000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.457,5.797,0.000000,-0.075848,-0.273177,-0.174512,0.318809,3.840000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8856.000000,25.500000,88.599998,26.200000,25.440000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.569,5.909,0.000000,-0.075848,-0.174512,-0.371841,0.220145,-2.250000,4014.000000,366.000000,110.000000,-168.000000,-122.000000,9154.000000,25.500000,91.500000,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.675,6.015,0.000000,-0.174512,-0.371841,-0.371841,0.614801,-2.250000,4014.000000,366.000000,110.000000,-168.000000,-122.000000,9154.000000,25.500000,91.500000,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.784,6.124,0.000000,-0.075848,-0.273177,-0.273177,0.318809,-9.250000,4470.750000,385.000000,115.000000,-161.000000,-113.000000,9624.000000,25.500000,96.199997,26.200000,25.430000,25.490000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:00.894,6.234,0.000000,-0.174512,-0.273177,-0.371841,0.220145,-9.250000,4470.750000,385.000000,115.000000,-161.000000,-113.000000,9624.000000,25.500000,96.199997,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:01.003,6.343,0.000000,-0.075848,-0.174512,-0.273177,0.220145,-12.960000,4742.750000,397.000000,119.000000,-157.000000,-108.000000,9910.000000,25.500000,99.099998,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:01.113,6.453,0.000000,0.022816,-0.174512,-0.470505,0.121480,-12.960000,4742.750000,397.000000,119.000000,-157.000000,-108.000000,9910.000000,25.500000,99.099998,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:01.223,6.563,0.000000,-0.075848,-0.273177,-0.470505,0.220145,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
01:58:01.331,6.671,0.000000,-0.174512,-0.273177,-0.470505,0.220145,-12.490000,4674.000000,396.000000,119.000000,-158.000000,-108.000000,9890.000000,25.500000,98.900002,26.200000,25.430000,25.500000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
