ReadableTime,RelativeTime(s)
23:46:13.936,0.082
23:46:14.047,0.193
23:46:14.156,0.302
23:46:14.265,0.411
23:46:14.374,0.520
23:46:14.485,0.631
23:46:14.594,0.740
23:46:14.702,0.848
23:46:14.813,0.959
23:46:14.921,1.067
23:46:15.031,1.177
23:46:15.139,1.285
23:46:15.250,1.396
23:46:15.359,1.505
23:46:15.468,1.614
23:46:15.578,1.724
23:46:15.687,1.833
23:46:15.796,1.942
23:46:15.907,2.053
23:46:16.019,2.165
23:46:16.126,2.272
23:46:16.238,2.384
23:46:16.345,2.491
23:46:16.455,2.601
23:46:16.562,2.708
23:46:16.673,2.819
23:46:16.781,2.927
23:46:16.890,3.036
23:46:17.000,3.146
23:46:17.110,3.256
23:46:17.218,3.364
23:46:17.328,3.474
23:46:17.438,3.584
23:46:17.547,3.693
23:46:17.657,3.803
23:46:17.768,3.914
23:46:17.876,4.022
23:46:17.987,4.133
23:46:18.094,4.240
23:46:18.203,4.349
23:46:18.312,4.458
23:46:18.423,4.569
23:46:18.531,4.677
23:46:18.642,4.788
23:46:18.750,4.896
23:46:18.859,5.005
23:46:18.968,5.114
23:46:19.078,5.224
23:46:19.187,5.333
23:46:19.296,5.442
23:46:19.408,5.554
23:46:19.520,5.666
23:46:19.624,5.770
