ReadableTime,RelativeTime(s)
17:46:15.744,0.142
17:46:15.853,0.251
17:46:15.964,0.362
17:46:16.075,0.473
17:46:16.186,0.584
17:46:16.292,0.690
17:46:16.401,0.799
17:46:16.512,0.910
17:46:16.623,1.021
17:46:16.730,1.128
17:46:16.838,1.236
17:46:16.951,1.349
17:46:17.062,1.460
17:46:17.169,1.567
17:46:17.276,1.674
17:46:17.388,1.786
17:46:17.498,1.896
17:46:17.604,2.002
17:46:17.713,2.111
17:46:17.822,2.220
17:46:17.931,2.329
17:46:18.043,2.441
17:46:18.151,2.549
17:46:18.261,2.659
17:46:18.369,2.767
