ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
20:20:04.112,0.022,0.291072,-0.174512,-0.273177,-37.184082,0.220145,,,,,,,,,,,,,,,,,,,
20:20:04.222,0.132,0.291072,-0.075848,-0.174512,-37.184082,0.220145,,,,,,,,,,10.000000,11.000000,12.000000,,,,,27.170000,27.580000,27.870000
20:20:04.330,0.240,0.291072,-0.075848,-0.174512,-17.451236,0.121480,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.580000,27.870000
20:20:04.440,0.350,0.291072,-0.075848,-0.174512,-27.317659,0.220145,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.580000,27.880000
20:20:04.552,0.462,0.291072,0.121480,-0.075848,-27.317659,0.220145,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
20:20:04.658,0.568,0.291072,-0.075848,-0.174512,-37.184082,0.220145,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
20:20:04.767,0.677,0.291072,-0.075848,-0.273177,-37.184082,0.121480,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
20:20:04.876,0.786,0.291072,-0.075848,-0.174512,-27.317659,0.022816,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
20:20:04.987,0.897,0.291072,-0.075848,-0.174512,-27.317659,0.121480,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
20:20:05.095,1.005,0.291072,-0.075848,-0.174512,-37.184082,0.220145,,,,,,,,,,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.170000,27.590000,27.880000
