ReadableTime,RelativeTime(s),SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
21:28:37.837,4.943,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:37.947,5.053,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.057,5.163,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.165,5.271,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.275,5.381,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.384,5.490,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.496,5.602,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.605,5.711,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.714,5.820,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.823,5.929,23.850000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:38.933,6.039,23.860000,22.920000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.043,6.149,23.850000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.153,6.259,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.260,6.366,23.850000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.371,6.477,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.479,6.585,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.588,6.694,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.697,6.803,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.806,6.912,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:39.916,7.022,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.031,7.137,23.860000,22.930000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.135,7.241,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.248,7.354,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.353,7.459,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.464,7.570,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.575,7.681,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.684,7.790,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.792,7.898,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:40.900,8.006,23.860000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.009,8.115,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.121,8.227,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.230,8.336,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.340,8.446,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.450,8.556,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.556,8.662,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.669,8.775,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.779,8.885,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.884,8.990,23.870000,22.940000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:41.997,9.103,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.103,9.209,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.214,9.320,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.323,9.429,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.436,9.542,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.544,9.650,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.650,9.756,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.760,9.866,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.868,9.974,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:42.980,10.086,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:43.088,10.194,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
21:28:43.197,10.303,23.870000,22.950000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
