ReadableTime,RelativeTime(s)
17:04:31.525,0.068
17:04:31.637,0.180
17:04:31.748,0.291
17:04:31.856,0.399
17:04:31.964,0.507
17:04:32.075,0.618
17:04:32.186,0.729
17:04:32.292,0.835
17:04:32.401,0.944
17:04:32.511,1.054
17:04:32.621,1.164
17:04:32.729,1.272
17:04:32.838,1.381
17:04:32.948,1.491
17:04:33.059,1.602
17:04:33.167,1.710
17:04:33.278,1.821
17:04:33.387,1.930
17:04:33.496,2.039
17:04:33.607,2.150
17:04:33.715,2.258
17:04:33.825,2.368
17:04:33.934,2.477
17:04:34.047,2.590
17:04:34.151,2.694
17:04:34.261,2.804
17:04:34.371,2.914
17:04:34.479,3.022
17:04:34.588,3.131
17:04:34.699,3.242
17:04:34.806,3.349
17:04:34.916,3.459
17:04:35.028,3.571
17:04:35.136,3.679
17:04:35.249,3.792
17:04:35.353,3.896
17:04:35.465,4.008
17:04:35.574,4.117
17:04:35.687,4.230
17:04:35.792,4.335
17:04:35.901,4.444
17:04:36.011,4.554
17:04:36.118,4.661
17:04:36.229,4.772
17:04:36.337,4.880
17:04:36.447,4.990
17:04:36.559,5.102
17:04:36.666,5.209
17:04:36.775,5.318
17:04:36.885,5.428
17:04:36.994,5.537
17:04:37.107,5.650
17:04:37.213,5.756
17:04:37.322,5.865
17:04:37.435,5.978
17:04:37.541,6.084
17:04:37.651,6.194
17:04:37.759,6.302
17:04:37.869,6.412
17:04:37.980,6.523
17:04:38.090,6.633
17:04:38.197,6.740
17:04:38.308,6.851
